Order Date,Website,Purchase Order Number,Shipment Date,Order Status,Subtotal,Shipping Charge,Tax Before Promotions,Total Promotions,Tax Charged,Total Charged
12/18/18,Amazon.com,,12/19/18,Shipped,$16.99 ,$0.00 ,$1.72 ,$0.00 ,$1.72 ,$18.71 
12/20/18,Amazon.com,,12/21/18,Shipped,$4.66 ,$0.00 ,$0.47 ,$0.00 ,$0.47 ,$5.13 
12/20/18,Amazon.com,,12/20/18,Shipped,$7.31 ,$0.00 ,$0.73 ,$0.00 ,$0.73 ,$8.04 
12/20/18,Amazon.com,,12/22/18,Shipped,$4.58 ,$0.00 ,$0.46 ,$0.00 ,$0.46 ,$5.04 
12/25/18,Amazon.com,,12/26/18,Shipped,$18.36 ,$0.00 ,$1.85 ,$0.00 ,$1.85 ,$20.21 
12/25/18,Amazon.com,,12/26/18,Shipped,$19.99 ,$0.00 ,$2.02 ,$0.00 ,$2.02 ,$22.01 
12/25/18,Amazon.com,,12/26/18,Shipped,$31.98 ,$0.00 ,$3.22 ,$0.00 ,$3.22 ,$35.20 
1/12/19,Amazon.com,,1/13/19,Shipped,$13.59 ,$0.00 ,$1.37 ,$0.00 ,$1.37 ,$14.96 
1/28/19,Amazon.com,,1/29/19,Shipped,$57.46 ,$0.00 ,$5.81 ,$0.00 ,$5.81 ,$63.27 
3/10/19,Amazon.com,,3/11/19,Shipped,$7.90 ,$0.00 ,$0.80 ,$0.00 ,$0.80 ,$8.70 
3/25/19,Amazon.com,,3/26/19,Shipped,$14.99 ,$3.99 ,$1.90 ,$0.00 ,$1.90 ,$20.88 
4/3/19,Amazon.com,,4/4/19,Shipped,$31.97 ,$0.00 ,$3.23 ,$0.00 ,$3.23 ,$35.20 
4/15/19,Amazon.com,,4/15/19,Shipped,$19.97 ,$0.00 ,$2.02 ,$0.00 ,$2.02 ,$21.99 
4/30/19,Amazon.com,,4/30/19,Shipped,$15.99 ,$0.00 ,$1.61 ,$0.00 ,$1.61 ,$17.60 
5/15/19,Amazon.com,,5/16/19,Shipped,$8.99 ,$0.00 ,$0.91 ,$0.00 ,$0.91 ,$9.90 
8/29/19,Amazon.com,,9/2/19,Shipped,$49.97 ,$7.57 ,$5.00 ,$7.57 ,$5.00 ,$54.97 
9/8/19,Amazon.com,,9/9/19,Shipped,$34.98 ,$0.00 ,$3.53 ,$0.00 ,$3.53 ,$38.51 
9/9/19,Amazon.com,,9/10/19,Shipped,$61.67 ,$0.00 ,$6.23 ,$0.00 ,$6.23 ,$67.90 
10/15/19,Amazon.com,,10/15/19,Shipped,$29.99 ,$0.00 ,$3.03 ,$0.00 ,$3.03 ,$33.02 
10/18/19,Amazon.com,,10/19/19,Shipped,$8.98 ,$0.00 ,$0.91 ,$0.00 ,$0.91 ,$9.89 
11/16/19,Amazon.com,,11/16/19,Shipped,$148.00 ,$0.00 ,$14.80 ,$0.00 ,$14.80 ,$162.80 
12/14/19,Amazon.com,,12/15/19,Shipped,$12.99 ,$0.00 ,$1.30 ,$0.00 ,$1.30 ,$14.29 
12/14/19,Amazon.com,,12/17/19,Shipped,$7.95 ,$0.00 ,$0.80 ,$0.00 ,$0.80 ,$8.75 
12/19/19,Amazon.com,,12/20/19,Shipped,$27.68 ,$0.00 ,$2.77 ,$0.00 ,$2.77 ,$30.45 
12/24/19,Amazon.com,,12/29/19,Shipped,$12.90 ,$0.00 ,$1.29 ,$0.00 ,$1.29 ,$14.19 
12/24/19,Amazon.com,,12/26/19,Shipped,$22.00 ,$0.00 ,$1.60 ,$0.00 ,$1.60 ,$23.60 
12/25/19,Amazon.com,,12/26/19,Shipped,$20.99 ,$0.00 ,$1.99 ,$1.05 ,$1.99 ,$21.93 
12/28/19,Amazon.com,,12/28/19,Shipped,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
2/5/20,Amazon.com,,2/6/20,Shipped,$63.99 ,$0.00 ,$6.46 ,$0.00 ,$6.46 ,$70.45 
2/5/20,Amazon.com,,2/5/20,Shipped,$19.98 ,$0.00 ,$2.02 ,$0.00 ,$2.02 ,$22.00 
2/5/20,Amazon.com,,2/5/20,Shipped,$9.99 ,$0.00 ,$1.01 ,$0.00 ,$1.01 ,$11.00 
2/5/20,Amazon.com,,2/6/20,Shipped,$12.99 ,$0.00 ,$1.31 ,$0.00 ,$1.31 ,$14.30 
2/23/20,Amazon.com,,2/23/20,Shipped,$12.99 ,$0.00 ,$1.31 ,$0.00 ,$1.31 ,$14.30 
3/21/20,Amazon.com,,3/25/20,Shipped,$19.99 ,$0.00 ,$2.00 ,$0.00 ,$2.00 ,$21.99 
3/21/20,Amazon.com,,3/26/20,Shipped,$15.99 ,$0.00 ,$1.60 ,$0.00 ,$1.60 ,$17.59 
3/21/20,Amazon.com,,3/23/20,Shipped,$18.98 ,$0.00 ,$1.90 ,$0.00 ,$1.90 ,$20.88 
4/8/20,Amazon.com,,4/8/20,Shipped,$115.99 ,$0.00 ,$11.60 ,$0.00 ,$11.60 ,$127.59 
4/24/20,Amazon.com,,5/1/20,Shipped,$35.99 ,$0.00 ,$3.60 ,$0.00 ,$3.60 ,$39.59 
